datetime,Q_in
2025-01-04 18:20:00,216.324
2025-01-04 18:30:00,220.716
2025-01-04 18:40:00,167.4
2025-01-04 18:50:00,160.992
2025-01-04 19:00:00,173.80800000000002
2025-01-04 19:10:00,171.108
2025-01-04 19:20:00,158.292
2025-01-04 19:30:00,170.784
2025-01-04 19:40:00,166.392
2025-01-04 19:50:00,167.4
2025-01-04 20:00:00,162.324
2025-01-04 20:10:00,167.076
2025-01-04 20:20:00,158.616
2025-01-04 20:30:00,156.6
2025-01-04 20:40:00,165.384
2025-01-04 20:50:00,162.0
2025-01-04 21:00:00,157.284
2025-01-04 21:10:00,161.316
2025-01-04 21:20:00,173.12400000000002
2025-01-04 21:30:00,166.716
2025-01-04 21:40:00,163.008
2025-01-04 21:50:00,166.716
2025-01-04 22:00:00,165.708
2025-01-04 22:10:00,158.616
2025-01-04 22:20:00,164.376
2025-01-04 22:30:00,158.292
2025-01-04 22:40:00,170.784
2025-01-04 22:50:00,173.12400000000002
2025-01-04 23:00:00,171.432
2025-01-04 23:10:00,166.716
2025-01-04 23:20:00,180.216
2025-01-04 23:30:00,183.27599999999998
2025-01-04 23:40:00,186.62400000000002
2025-01-04 23:50:00,193.03199999999998
2025-01-05 00:00:00,194.72400000000002
2025-01-05 00:10:00,192.384
2025-01-05 00:20:00,189.684
2025-01-05 00:30:00,193.392
2025-01-05 00:40:00,178.52400000000003
2025-01-05 00:50:00,175.824
2025-01-05 01:00:00,167.72400000000002
2025-01-05 01:10:00,152.892
2025-01-05 01:20:00,154.90800000000002
2025-01-05 01:30:00,150.876
2025-01-05 01:40:00,150.192
2025-01-05 01:50:00,155.592
2025-01-05 02:00:00,157.608
2025-01-05 02:10:00,148.824
2025-01-05 02:20:00,152.208
2025-01-05 02:30:00,144.792
2025-01-05 02:40:00,140.4
2025-01-05 02:50:00,131.616
2025-01-05 03:00:00,116.10000000000001
2025-01-05 03:10:00,111.384
2025-01-05 03:20:00,116.78399999999999
2025-01-05 03:30:00,105.98400000000001
2025-01-05 03:40:00,109.00800000000001
2025-01-05 03:50:00,107.676
2025-01-05 04:00:00,117.792
2025-01-05 04:10:00,114.768
2025-01-05 04:20:00,117.108
2025-01-05 04:30:00,101.916
2025-01-05 04:40:00,110.376
2025-01-05 04:50:00,103.608
2025-01-05 05:00:00,114.768
2025-01-05 05:10:00,110.376
2025-01-05 05:20:00,101.592
2025-01-05 05:30:00,110.7
2025-01-05 05:40:00,89.784
2025-01-05 05:50:00,105.98400000000001
2025-01-05 06:00:00,87.768
2025-01-05 06:10:00,96.192
2025-01-05 06:20:00,103.968
2025-01-05 06:30:00,95.50800000000001
2025-01-05 06:40:00,97.524
2025-01-05 06:50:00,109.692
2025-01-05 07:00:00,117.108
2025-01-05 07:10:00,122.50800000000001
2025-01-05 07:20:00,128.91600000000003
2025-01-05 07:30:00,139.392
2025-01-05 07:40:00,136.36800000000002
2025-01-05 07:50:00,137.376
2025-01-05 08:00:00,101.916
2025-01-05 08:10:00,105.98400000000001
2025-01-05 08:20:00,116.10000000000001
2025-01-05 08:30:00,119.12400000000001
2025-01-05 08:40:00,127.58399999999999
2025-01-05 08:50:00,137.01600000000002
2025-01-05 09:00:00,152.208
2025-01-05 09:10:00,156.27599999999998
2025-01-05 09:20:00,164.376
2025-01-05 09:30:00,166.716
2025-01-05 09:40:00,170.424
2025-01-05 09:50:00,180.216
2025-01-05 10:00:00,188.676
2025-01-05 10:10:00,195.084
2025-01-05 10:20:00,185.292
2025-01-05 10:30:00,208.22400000000002
2025-01-05 10:40:00,207.216
2025-01-05 10:50:00,207.9
2025-01-05 11:00:00,203.184
2025-01-05 11:10:00,214.632
2025-01-05 11:20:00,213.984
2025-01-05 11:30:00,147.168
2025-01-05 11:40:00,168.40800000000002
2025-01-05 11:50:00,178.52400000000003
2025-01-05 12:00:00,198.432
2025-01-05 12:10:00,211.96800000000002
2025-01-05 12:20:00,216.324
2025-01-05 12:30:00,223.77599999999998
2025-01-05 12:40:00,226.8
2025-01-05 12:50:00,227.484
2025-01-05 13:00:00,224.424
2025-01-05 13:10:00,228.492
2025-01-05 13:20:00,222.40800000000002
2025-01-05 13:30:00,211.96800000000002
2025-01-05 13:40:00,225.432
2025-01-05 13:50:00,221.72400000000002
2025-01-05 14:00:00,220.716
2025-01-05 14:10:00,228.168
2025-01-05 14:20:00,223.77599999999998
2025-01-05 14:30:00,223.41600000000003
2025-01-05 14:40:00,221.72400000000002
2025-01-05 14:50:00,220.392
2025-01-05 15:00:00,224.424
2025-01-05 15:10:00,198.792
2025-01-05 15:20:00,203.184
2025-01-05 15:30:00,203.184
2025-01-05 15:40:00,202.176
2025-01-05 15:50:00,189.0
2025-01-05 16:00:00,179.568
2025-01-05 16:10:00,146.80800000000002
2025-01-05 16:20:00,158.976
2025-01-05 16:30:00,152.892
2025-01-05 16:40:00,166.03199999999998
2025-01-05 16:50:00,208.90800000000002
2025-01-05 17:00:00,210.6
2025-01-05 17:10:00,215.316
2025-01-05 17:20:00,179.892
2025-01-05 17:30:00,156.924
2025-01-05 17:40:00,155.91600000000003
2025-01-05 17:50:00,160.668
2025-01-05 18:00:00,152.568
2025-01-05 18:10:00,154.90800000000002
2025-01-05 18:20:00,142.77599999999998
2025-01-05 18:30:00,150.51600000000002
2025-01-05 18:40:00,152.568
2025-01-05 18:50:00,139.716
2025-01-05 19:00:00,147.168
2025-01-05 19:10:00,137.70000000000002
2025-01-05 19:20:00,135.324
2025-01-05 19:30:00,137.01600000000002
2025-01-05 19:40:00,140.72400000000002
2025-01-05 19:50:00,129.924
2025-01-05 20:00:00,132.3
2025-01-05 20:10:00,129.924
2025-01-05 20:20:00,130.96800000000002
2025-01-05 20:30:00,139.392
2025-01-05 20:40:00,118.11600000000001
2025-01-05 20:50:00,138.02400000000003
2025-01-05 21:00:00,139.03199999999998
2025-01-05 21:10:00,145.476
2025-01-05 21:20:00,156.6
2025-01-05 21:30:00,162.324
2025-01-05 21:40:00,171.108
2025-01-05 21:50:00,177.51600000000002
2025-01-05 22:00:00,173.12400000000002
2025-01-05 22:10:00,180.216
2025-01-05 22:20:00,180.9
2025-01-05 22:30:00,176.832
2025-01-05 22:40:00,185.616
2025-01-05 22:50:00,180.9
2025-01-05 23:00:00,185.976
2025-01-05 23:10:00,178.52400000000003
2025-01-05 23:20:00,177.876
2025-01-05 23:30:00,174.492
2025-01-05 23:40:00,170.784
2025-01-05 23:50:00,169.77599999999998
2025-01-06 00:00:00,183.924
2025-01-06 00:10:00,169.092
2025-01-06 00:20:00,173.80800000000002
2025-01-06 00:30:00,145.8
2025-01-06 00:40:00,150.51600000000002
2025-01-06 00:50:00,148.5
2025-01-06 01:00:00,151.52400000000003
2025-01-06 01:10:00,136.008
2025-01-06 01:20:00,136.36800000000002
2025-01-06 01:30:00,131.976
2025-01-06 01:40:00,112.392
2025-01-06 01:50:00,111.70800000000001
2025-01-06 02:00:00,117.108
2025-01-06 02:10:00,97.2
2025-01-06 02:20:00,100.584
2025-01-06 02:30:00,91.116
2025-01-06 02:40:00,123.192
2025-01-06 02:50:00,125.20800000000001
2025-01-06 03:00:00,122.184
2025-01-06 03:10:00,115.092
2025-01-06 03:20:00,114.408
2025-01-06 03:30:00,128.592
2025-01-06 03:40:00,109.368
2025-01-06 03:50:00,103.968
2025-01-06 04:00:00,104.616
2025-01-06 04:10:00,103.968
2025-01-06 04:20:00,105.624
2025-01-06 04:30:00,119.484
2025-01-06 04:40:00,112.03200000000001
2025-01-06 04:50:00,113.07600000000001
2025-01-06 05:00:00,115.092
2025-01-06 05:10:00,112.392
2025-01-06 05:20:00,117.108
2025-01-06 05:30:00,119.808
2025-01-06 05:40:00,118.11600000000001
2025-01-06 05:50:00,122.50800000000001
2025-01-06 06:00:00,126.9
2025-01-06 06:10:00,122.50800000000001
2025-01-06 06:20:00,124.2
2025-01-06 06:30:00,134.676
2025-01-06 06:40:00,124.52400000000002
2025-01-06 06:50:00,125.892
2025-01-06 07:00:00,135.684
2025-01-06 07:10:00,138.708
2025-01-06 07:20:00,133.632
2025-01-06 07:30:00,146.12400000000002
2025-01-06 07:40:00,149.832
2025-01-06 07:50:00,147.492
2025-01-06 08:00:00,153.9
2025-01-06 08:10:00,149.832
2025-01-06 08:20:00,169.77599999999998
